,index,HR_Mean,HR_Median,HR_std,HR_Min,HR_Max,HR_AUC,Round,Phase,Individual,Puzzler,Frustrated,Cohort
0,78,68.34938983050847,69.1,3.890979577870647,61.62,77.05,20090.94,round_4,phase3,7,1,2,D1_1
1,85,74.59003311258277,77.555,5.276666211841741,62.98,79.6,22450.255,round_3,phase2,8,0,4,D1_1
2,14,78.22567944250872,73.08,10.984611365993729,70.92,109.35,22364.18,round_3,phase1,2,0,1,D1_1
3,132,65.49806020066889,64.45,2.19947864087509,62.7,71.4,19517.395,round_3,phase3,12,1,1,D1_2
4,90,70.3712837837838,69.285,4.295085055554547,66.33,82.82,20755.02,round_4,phase3,8,0,1,D1_1
5,58,77.25331343283582,72.48,12.768254611129878,63.3,104.98,25790.095,round_1,phase2,5,0,3,D1_1
6,129,76.17637931034483,76.555,2.290988135637708,71.82,83.02,22011.7,round_1,phase3,11,0,2,D1_2
7,65,80.36322033898304,79.68,4.051832725777331,74.73,88.05,23625.475,round_2,phase1,6,0,1,D1_1
8,116,68.41635738831616,68.45,0.8442546985188101,66.68,70.15,19841.11,round_4,phase1,10,0,0,D1_2
9,31,82.17259375,84.275,6.052056969729473,69.45,89.08,26217.06,round_4,phase2,3,1,1,D1_1
10,106,86.02110344827585,86.57499999999999,3.6802601866124274,79.12,91.65,24857.58,round_1,phase2,9,1,2,D1_2
11,163,73.59453924914676,72.38,9.474555915931097,57.43,93.53,21482.985,round_4,phase2,14,0,8,D1_2
12,0,77.96518644067797,78.0,3.3452903053436787,73.23,83.37,22924.945,round_3,phase3,1,1,1,D1_1
13,27,83.5448,82.95,2.499542249450912,79.5,88.13,27067.16,round_2,phase3,3,1,4,D1_1
14,163,73.59453924914676,72.38,9.474555915931097,57.43,93.53,21482.985,round_4,phase2,14,0,8,D1_2
15,51,62.65810169491525,60.78,6.144262391024575,55.33,80.75,18415.61,round_2,phase3,5,0,4,D1_1
16,93,82.37838440111419,77.05,15.782362624406003,65.08,115.1,29498.915,round_1,phase3,8,0,2,D1_1
17,49,70.60831683168317,69.73,5.529045233790237,63.0,79.7,21325.605,round_3,phase2,5,0,3,D1_1
18,41,68.43320945945948,60.115,16.643294353960943,52.95,107.32,20185.13,round_2,phase1,4,1,2,D1_1
19,79,86.77973333333333,85.68,7.668898439354421,75.5,103.07,25948.17,round_4,phase2,7,1,4,D1_1
20,91,77.61632911392404,76.95,10.587385986983374,60.7,93.38,24454.49,round_4,phase2,8,0,3,D1_1
21,133,71.96878205128206,70.16,3.4918519474750305,66.43,77.57,22381.96,round_3,phase2,12,1,4,D1_2
22,129,76.17637931034483,76.555,2.290988135637708,71.82,83.02,22011.7,round_1,phase3,11,0,2,D1_2
23,91,77.61632911392404,76.95,10.587385986983374,60.7,93.38,24454.49,round_4,phase2,8,0,3,D1_1
24,74,67.77526501766785,67.83,2.1867051991748085,63.33,73.42,19112.025,round_3,phase1,7,1,4,D1_1
25,116,68.41635738831616,68.45,0.8442546985188101,66.68,70.15,19841.11,round_4,phase1,10,0,0,D1_2
26,107,89.5339455782313,86.475,6.645188981339113,82.68,104.4,26234.48,round_1,phase1,9,1,0,D1_2
27,3,78.91682242990655,77.88,4.0545949084335575,72.32,84.92,25258.905,round_2,phase3,1,1,1,D1_1
28,8,73.89095975232198,74.37,3.479808305956117,67.48,80.85,23789.395,round_4,phase1,1,1,0,D1_1
29,56,62.86145762711863,60.0,7.375793113867321,55.53,77.37,18477.435,round_4,phase1,5,0,0,D1_1
30,63,75.22040677966102,75.07,4.595892706095332,67.17,95.6,22104.43,round_2,phase3,6,0,6,D1_1
31,43,68.86549668874173,69.42500000000001,2.7234032326783866,63.27,73.12,20725.905,round_4,phase2,4,1,7,D1_1
32,67,79.00255813953487,77.9,5.434653233412584,71.05,88.0,23697.21,round_4,phase2,6,0,5,D1_1
33,154,88.47687296416937,86.7,4.947903364661782,80.85,99.82,27076.185,round_1,phase2,13,1,1,D1_2
34,44,90.53556313993174,94.0,19.733227439482945,63.58,119.38,26457.225,round_4,phase1,4,1,2,D1_1
35,58,77.25331343283582,72.48,12.768254611129878,63.3,104.98,25790.095,round_1,phase2,5,0,3,D1_1
36,30,89.54554421768707,90.105,2.997615242670299,78.45,94.42,26242.005,round_4,phase3,3,1,4,D1_1
37,5,74.37206081081081,74.05,2.061858338116128,71.27,79.22,21940.505000000005,round_2,phase1,1,1,0,D1_1
38,60,69.97936026936027,68.43,4.140237939716774,62.85,77.97,20706.095,round_3,phase3,6,0,5,D1_1
39,75,77.56958620689656,77.445,6.694663771361022,64.92,88.82,22417.85,round_2,phase3,7,1,5,D1_1
40,26,82.78135888501743,83.38,8.07725031322538,65.9,97.31,23667.92,round_3,phase1,3,1,3,D1_1
41,61,80.48216129032258,81.48,3.320919401264373,74.5,85.8,24870.21,round_3,phase2,6,0,2,D1_1
42,44,90.53556313993174,94.0,19.733227439482945,63.58,119.38,26457.225,round_4,phase1,4,1,2,D1_1
43,16,71.92974025974026,72.17500000000001,4.5149557405894205,62.78,80.98,22077.91,round_2,phase2,2,0,5,D1_1
44,5,74.37206081081081,74.05,2.061858338116128,71.27,79.22,21940.505000000005,round_2,phase1,1,1,0,D1_1
45,27,83.5448,82.95,2.499542249450912,79.5,88.13,27067.16,round_2,phase3,3,1,4,D1_1
46,125,78.21910652920963,77.42,2.675740675864248,75.62,85.35,22682.6,round_2,phase1,11,0,1,D1_2
47,54,69.34121621621621,66.82499999999999,7.181643870681382,61.73,87.48,20453.45,round_4,phase3,5,0,2,D1_1
48,13,74.94602564102563,75.82,3.761098505381916,65.42,81.5,23305.9,round_3,phase2,2,0,4,D1_1
49,104,76.2097602739726,75.47,3.7459168529856224,69.42,89.94,22171.405,round_4,phase1,9,1,2,D1_2
50,120,75.62666666666667,75.07,2.864189640867129,70.85,82.33,21932.160000000003,round_3,phase3,11,0,0,D1_2
51,31,82.17259375,84.275,6.052056969729473,69.45,89.08,26217.06,round_4,phase2,3,1,1,D1_1
52,12,70.08807432432432,70.06,2.474921126882164,66.03,75.17,20672.675,round_3,phase3,2,0,2,D1_1
53,27,83.5448,82.95,2.499542249450912,79.5,88.13,27067.16,round_2,phase3,3,1,4,D1_1
